time,RSSI1,RSSI2,RSSI3,RSSI4,RSSI5,RSSI6,RSSI7,RSSI8,RSSI9,RSSI10,state
101030,-100,-100,-90,-100,-86,-100,-100,-53,-60,-71,stay
101040,-100,-100,-100,-100,-87,-83,-100,-59,-100,-74,stay
101050,-100,-100,-92,-100,-88,-100,-100,-58,-100,-72,stay
101100,-100,-100,-100,-100,-88,-100,-100,-59,-55,-100,stay
101110,-100,-100,-100,-100,-89,-84,-100,-56,-58,-71,stay
101120,-100,-100,-100,-100,-89,-84,-100,-60,-100,-71,stay
101130,-100,-100,-95,-91,-100,-77,-100,-54,-100,-76,stay
101140,-100,-100,-100,-100,-90,-75,-74,-55,-100,-100,stay
101150,-100,-100,-100,-100,-84,-79,-70,-60,-100,-100,stay
101100,-100,-100,-100,-100,-88,-100,-100,-59,-55,-100,stay
101110,-100,-100,-100,-100,-89,-84,-100,-56,-58,-71,stay
101120,-100,-100,-100,-100,-89,-84,-100,-60,-100,-71,stay
101130,-100,-100,-95,-91,-100,-77,-100,-54,-100,-76,stay
101140,-100,-100,-100,-100,-90,-75,-74,-55,-100,-100,stay
101150,-100,-100,-100,-100,-84,-79,-70,-60,-100,-100,stay
101200,-100,-100,-93,-100,-100,-82,-71,-60,-100,-100,stay
101210,-100,-100,-91,-100,-90,-82,-100,-55,-67,-100,stay
101220,-100,-100,-100,-100,-100,-83,-72,-57,-60,-100,stay
101230,-100,-100,-100,-100,-89,-77,-71,-55,-59,-100,stay
101240,-100,-100,-96,-100,-82,-83,-71,-59,-100,-100,stay
101250,-100,-100,-100,-100,-100,-78,-100,-59,-100,-100,stay
101200,-100,-100,-93,-100,-100,-82,-71,-60,-100,-100,stay
101210,-100,-100,-91,-100,-90,-82,-100,-55,-67,-100,stay
101220,-100,-100,-100,-100,-100,-83,-72,-57,-60,-100,stay
101230,-100,-100,-100,-100,-89,-77,-71,-55,-59,-100,stay
101240,-100,-100,-96,-100,-82,-83,-71,-59,-100,-100,stay
101250,-100,-100,-100,-100,-100,-78,-100,-59,-100,-100,stay
101300,-100,-100,-100,-100,-100,-84,-100,-53,-68,-100,stay
101310,-100,-100,-94,-100,-100,-83,-72,-58,-58,-100,stay
101320,-100,-100,-94,-100,-100,-82,-70,-60,-57,-100,stay
