Datetime,Real_state,Predicted_state_cgr,Predicted_state_cg
2025-05-15 13:12:00,stay,stay,stay
2025-05-15 13:14:00,stay,stay,stay
2025-05-15 13:15:00,stay,stay,stay
2025-05-15 13:17:00,stay,stay,stay
2025-05-15 13:19:00,stay,stay,stay
2025-05-15 13:20:00,stay,stay,stay
2025-05-15 13:22:00,stay,stay,stay
2025-05-15 13:23:00,stay,stay,stay
2025-05-15 13:25:00,stay,stay,stay
2025-05-15 13:27:00,stay,stay,stay
2025-05-15 13:28:00,stay,stay,stay
2025-05-15 13:30:00,stay,stay,stay
2025-05-15 13:31:00,stay,stay,stay
2025-05-15 13:33:00,stay,stay,stay
2025-05-15 13:35:00,stay,stay,stay
2025-05-15 13:36:00,stay,stay,stay
2025-05-15 13:38:00,stay,stay,stay
2025-05-15 13:40:00,stay,stay,stay
2025-05-15 13:41:00,stay,stay,stay
2025-05-15 13:43:00,stay,stay,stay
2025-05-15 13:45:00,stay,stay,stay
2025-05-15 13:46:00,stay,stay,stay
2025-05-15 13:48:00,stay,stay,stay
2025-05-15 13:50:00,stay,stay,stay
2025-05-15 13:51:00,stay,stay,stay
2025-05-15 13:53:00,stay,stay,stay
2025-05-15 13:55:00,stay,stay,stay
2025-05-15 13:57:00,stay,stay,stay
2025-05-15 13:58:00,stay,stay,stay
2025-05-15 14:00:00,stay,stay,stay
2025-05-15 14:01:00,stay,stay,stay
2025-05-15 14:03:00,stay,stay,stay
2025-05-15 14:05:00,stay,stay,stay
2025-05-15 14:07:00,stay,stay,stay
2025-05-15 14:08:00,stay,stay,stay
2025-05-15 14:10:00,stay,stay,stay
2025-05-15 14:12:00,stay,stay,stay
2025-05-15 14:13:00,stay,stay,stay
2025-05-15 14:15:00,stay,stay,stay
2025-05-15 14:17:00,stay,stay,outside
2025-05-15 14:18:00,stay,stay,stay
2025-05-15 14:20:00,stay,stay,stay
2025-05-15 14:22:00,stay,stay,stay
2025-05-15 14:23:00,stay,stay,stay
2025-05-15 14:25:00,stay,stay,outside
2025-05-15 14:27:00,stay,stay,stay
2025-05-15 14:28:00,stay,stay,stay
2025-05-15 14:30:00,stay,stay,stay
2025-05-15 14:32:00,stay,stay,stay
2025-05-15 14:33:00,stay,stay,stay
2025-05-15 14:35:00,stay,stay,stay
2025-05-15 14:37:00,stay,stay,stay
2025-05-15 14:38:00,stay,stay,stay
2025-05-15 14:40:00,stay,stay,stay
2025-05-15 14:42:00,stay,arrival,arrival
2025-05-15 14:44:00,stay,leave,leave
2025-05-15 14:45:00,stay,stay,stay
2025-05-15 14:47:00,stay,stay,stay
2025-05-15 14:49:00,stay,stay,stay
2025-05-15 14:50:00,stay,stay,stay
2025-05-15 14:52:00,stay,stay,stay
2025-05-15 14:54:00,stay,stay,stay
2025-05-15 14:56:00,stay,stay,stay
2025-05-15 14:57:00,stay,stay,stay
2025-05-15 14:59:00,stay,stay,stay
2025-05-15 15:01:00,stay,stay,stay
2025-05-15 15:03:00,stay,stay,stay
2025-05-15 15:04:00,stay,leave,leave
2025-05-15 15:06:00,stay,stay,stay
2025-05-15 15:08:00,stay,stay,stay
2025-05-15 15:10:00,stay,stay,stay
2025-05-15 15:11:00,stay,stay,stay
2025-05-15 15:13:00,stay,stay,stay
2025-05-15 15:15:00,stay,stay,stay
2025-05-15 15:17:00,stay,stay,stay
2025-05-15 15:19:00,stay,stay,stay
2025-05-15 15:20:00,stay,stay,stay
2025-05-15 15:22:00,stay,stay,stay
2025-05-15 15:24:00,stay,stay,stay
2025-05-15 15:26:00,stay,stay,stay
2025-05-15 15:28:00,stay,stay,stay
2025-05-15 15:29:00,stay,stay,stay
2025-05-15 15:31:00,stay,stay,stay
2025-05-15 15:33:00,stay,stay,stay
2025-05-15 15:35:00,stay,stay,stay
2025-05-15 15:36:00,stay,stay,stay
2025-05-15 15:38:00,stay,stay,stay
2025-05-15 15:40:00,stay,stay,stay
2025-05-15 15:42:00,stay,stay,stay
2025-05-15 15:44:00,stay,stay,stay
2025-05-15 15:46:00,stay,stay,stay
2025-05-15 15:47:00,stay,stay,stay
2025-05-15 15:49:00,stay,stay,stay
2025-05-15 15:51:00,stay,stay,stay
2025-05-15 15:53:00,stay,stay,stay
2025-05-15 15:55:00,stay,stay,stay
2025-05-15 15:57:00,stay,stay,stay
2025-05-15 15:58:00,stay,stay,stay
2025-05-15 16:00:00,stay,stay,stay
2025-05-15 16:02:00,stay,stay,stay
2025-05-15 16:04:00,stay,stay,stay
2025-05-15 16:06:00,stay,stay,stay
2025-05-15 16:08:00,stay,stay,stay
2025-05-15 16:10:00,stay,stay,stay
2025-05-15 16:11:00,stay,stay,stay
2025-05-15 16:13:00,stay,stay,stay
2025-05-15 16:15:00,stay,stay,stay
2025-05-15 16:17:00,stay,stay,stay
2025-05-15 16:19:00,stay,stay,stay
2025-05-15 16:21:00,stay,stay,stay
2025-05-15 16:23:00,stay,stay,stay
2025-05-15 16:25:00,stay,stay,stay
2025-05-15 16:26:00,stay,stay,stay
2025-05-15 16:28:00,stay,stay,stay
2025-05-15 16:30:00,stay,stay,stay
2025-05-15 16:32:00,stay,stay,stay
2025-05-15 16:34:00,stay,stay,stay
2025-05-15 16:36:00,stay,stay,stay
2025-05-15 16:38:00,stay,stay,stay
2025-05-15 16:40:00,stay,stay,stay
2025-05-15 16:42:00,stay,stay,stay
2025-05-15 16:44:00,stay,stay,stay
2025-05-15 16:46:00,stay,stay,stay
2025-05-15 16:48:00,stay,stay,stay
2025-05-15 16:50:00,stay,stay,stay
2025-05-15 16:52:00,stay,stay,stay
2025-05-15 16:54:00,stay,stay,stay
2025-05-15 16:55:00,stay,stay,stay
2025-05-15 16:57:00,stay,stay,stay
2025-05-15 16:59:00,stay,stay,stay
2025-05-15 17:01:00,stay,stay,outside
2025-05-15 17:03:00,stay,stay,stay
2025-05-15 17:05:00,stay,stay,stay
2025-05-15 17:07:00,stay,stay,stay
2025-05-15 17:09:00,stay,stay,stay
2025-05-15 17:11:00,stay,stay,stay
2025-05-15 17:13:00,stay,stay,stay
2025-05-15 17:15:00,stay,stay,stay
2025-05-15 17:17:00,stay,stay,stay
2025-05-15 18:02:00,stay,stay,stay
2025-05-15 18:03:00,stay,stay,stay
2025-05-15 18:05:00,stay,stay,stay
2025-05-15 18:06:00,stay,stay,stay
2025-05-15 18:07:00,stay,stay,stay
2025-05-15 18:08:00,stay,stay,stay
2025-05-15 18:09:00,stay,stay,stay
2025-05-15 18:11:00,stay,stay,stay
2025-05-15 18:12:00,stay,stay,stay
2025-05-15 18:13:00,stay,stay,stay
2025-05-15 18:14:00,stay,stay,stay
2025-05-15 18:15:00,stay,stay,stay
2025-05-15 18:17:00,stay,stay,stay
2025-05-15 18:18:00,stay,stay,stay
2025-05-15 18:19:00,stay,stay,stay
2025-05-15 18:20:00,stay,stay,stay
2025-05-15 18:21:00,stay,stay,stay
2025-05-15 18:22:00,stay,stay,stay
2025-05-15 18:24:00,stay,stay,stay
2025-05-15 18:25:00,stay,stay,stay
2025-05-15 18:26:00,stay,stay,stay
2025-05-15 18:27:00,stay,stay,stay
2025-05-15 18:29:00,stay,stay,stay
2025-05-15 18:30:00,stay,stay,stay
2025-05-15 18:31:00,stay,stay,stay
2025-05-15 18:32:00,stay,stay,stay
2025-05-15 18:33:00,stay,stay,stay
2025-05-15 18:35:00,stay,stay,stay
2025-05-15 18:36:00,stay,stay,stay
2025-05-15 18:37:00,stay,stay,stay
2025-05-15 18:38:00,stay,stay,stay
2025-05-15 18:40:00,stay,stay,stay
2025-05-15 18:41:00,stay,stay,stay
2025-05-15 18:42:00,stay,stay,stay
2025-05-15 18:43:00,stay,stay,stay
2025-05-15 18:45:00,stay,stay,stay
2025-05-15 18:46:00,stay,stay,stay
2025-05-15 18:47:00,stay,stay,stay
2025-05-15 18:48:00,stay,stay,stay
2025-05-15 18:50:00,stay,stay,stay
2025-05-15 18:51:00,stay,stay,stay
2025-05-15 18:52:00,stay,stay,stay
2025-05-15 18:53:00,stay,stay,stay
2025-05-15 18:55:00,stay,stay,stay
2025-05-15 18:56:00,stay,stay,stay
2025-05-15 18:57:00,stay,stay,stay
2025-05-15 18:58:00,stay,stay,stay
2025-05-15 19:00:00,stay,stay,stay
2025-05-15 19:01:00,stay,stay,stay
2025-05-15 19:02:00,stay,stay,stay
2025-05-15 19:04:00,stay,stay,stay
2025-05-15 19:05:00,stay,stay,stay
2025-05-15 19:06:00,stay,stay,stay
2025-05-15 19:07:00,stay,stay,stay
2025-05-15 19:09:00,stay,stay,stay
2025-05-15 19:10:00,stay,stay,stay
2025-05-15 19:11:00,stay,stay,stay
2025-05-15 19:13:00,stay,stay,stay
2025-05-15 19:14:00,stay,stay,stay
2025-05-15 19:15:00,stay,stay,stay
2025-05-15 19:16:00,stay,stay,stay
2025-05-15 19:18:00,stay,stay,stay
2025-05-15 19:19:00,stay,stay,stay
2025-05-15 19:20:00,stay,stay,stay
2025-05-15 19:22:00,stay,stay,stay
2025-05-15 19:23:00,stay,stay,stay
2025-05-15 19:24:00,stay,stay,stay
2025-05-15 19:26:00,stay,stay,stay
2025-05-15 19:27:00,stay,stay,stay
2025-05-15 19:28:00,stay,stay,stay
2025-05-15 19:30:00,stay,stay,stay
2025-05-15 19:31:00,stay,stay,stay
2025-05-15 19:32:00,stay,stay,stay
2025-05-15 19:34:00,stay,stay,stay
2025-05-15 19:35:00,stay,stay,stay
2025-05-15 19:36:00,stay,stay,stay
2025-05-15 19:38:00,stay,stay,stay
2025-05-15 19:39:00,stay,stay,stay
2025-05-15 19:40:00,stay,stay,stay
2025-05-15 19:42:00,stay,stay,stay
2025-05-15 19:43:00,stay,stay,stay
2025-05-15 19:44:00,stay,stay,stay
2025-05-15 19:46:00,stay,stay,stay
2025-05-15 19:47:00,stay,stay,stay
2025-05-15 19:48:00,stay,stay,stay
2025-05-15 19:50:00,stay,stay,stay
2025-05-15 19:51:00,stay,stay,stay
2025-05-15 19:52:00,stay,stay,stay
2025-05-15 19:54:00,stay,stay,stay
2025-05-15 19:55:00,leave,leave,leave
2025-05-15 19:56:00,outside,outside,outside
2025-05-15 19:58:00,outside,outside,outside
2025-05-15 19:59:00,outside,outside,outside
2025-05-15 20:00:00,outside,outside,outside
2025-05-15 20:02:00,outside,outside,outside
2025-05-15 20:03:00,outside,outside,outside
2025-05-15 20:05:00,outside,outside,outside
2025-05-15 20:06:00,outside,outside,outside
2025-05-16 08:50:00,outside,outside,outside
2025-05-16 08:51:00,outside,outside,outside
2025-05-16 08:52:00,outside,outside,outside
2025-05-16 08:54:00,outside,outside,outside
2025-05-16 08:55:00,outside,outside,outside
2025-05-16 08:56:00,outside,outside,outside
2025-05-16 08:57:00,outside,outside,outside
2025-05-16 08:58:00,outside,outside,outside
2025-05-16 08:59:00,outside,outside,outside
2025-05-16 09:01:00,outside,outside,outside
2025-05-16 09:02:00,outside,outside,outside
2025-05-16 09:03:00,outside,outside,outside
2025-05-16 09:04:00,outside,outside,outside
2025-05-16 09:06:00,outside,outside,outside
2025-05-16 09:07:00,outside,outside,outside
2025-05-16 09:08:00,outside,outside,outside
2025-05-16 09:09:00,outside,outside,outside
2025-05-16 09:10:00,outside,outside,outside
2025-05-16 09:12:00,outside,outside,outside
2025-05-16 09:13:00,outside,outside,outside
2025-05-16 09:14:00,outside,outside,outside
2025-05-16 09:15:00,outside,outside,outside
2025-05-16 09:16:00,outside,outside,outside
2025-05-16 09:18:00,outside,outside,outside
2025-05-16 09:19:00,outside,outside,outside
2025-05-16 09:20:00,outside,outside,outside
2025-05-16 09:21:00,outside,outside,outside
2025-05-16 09:22:00,outside,outside,outside
2025-05-16 09:24:00,outside,outside,outside
2025-05-16 09:25:00,outside,outside,outside
2025-05-16 09:26:00,outside,outside,outside
2025-05-16 09:27:00,outside,outside,outside
2025-05-16 09:29:00,outside,outside,outside
2025-05-16 09:30:00,outside,outside,outside
2025-05-16 09:31:00,outside,outside,outside
