Datetime,RSSI1,RSSI2,RSSI3,RSSI4,RSSI5,RSSI6,RSSI7,RSSI8,RSSI9,RSSI10
2025-05-15 08:58:00,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:58:10,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:58:20,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:58:30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:58:40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:58:50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:59:00,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:59:10,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:59:20,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:59:30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:59:40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:59:50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:00:00,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:00:10,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:00:20,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:00:30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:00:40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:00:50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:01:00,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:01:10,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:01:20,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:01:30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:01:40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:01:50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:02:00,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:02:10,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:02:20,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:02:30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:02:40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:02:50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:03:00,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:03:10,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:03:20,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:03:30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:03:40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:03:50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:04:00,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:04:10,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:04:20,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:04:30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:04:40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:04:50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:05:00,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:05:10,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:05:20,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:05:30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:05:40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:05:50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:06:00,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:06:10,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:06:20,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:06:30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:06:40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:06:50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:07:00,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:07:10,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:07:20,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:07:30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:07:40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:07:50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:08:00,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:08:10,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
