ID,State_t-5,State_t-4,State_t-3,State_t-2,State_t-1,State_t,State_predicted
230,outside,outside,outside,outside,outside,stay,outside
231,outside,outside,outside,outside,outside,stay,outside
232,outside,outside,outside,outside,outside,stay,outside
233,outside,outside,outside,outside,outside,stay,outside
234,stay,stay,stay,stay,stay,stay,outside
235,stay,stay,stay,stay,outside,stay,outside
236,stay,stay,outside,outside,arrival,stay,outside
237,stay,outside,outside,arrival,outside,stay,outside
238,outside,outside,arrival,outside,outside,stay,outside
239,outside,arrival,outside,outside,outside,stay,outside
240,stay,stay,stay,stay,stay,stay,outside
241,stay,stay,stay,stay,outside,stay,outside
242,stay,stay,stay,outside,outside,stay,outside
243,stay,stay,outside,outside,outside,stay,outside
244,stay,outside,outside,outside,outside,stay,outside
245,stay,stay,stay,stay,stay,outside,outside
246,stay,stay,stay,stay,outside,outside,outside
247,stay,stay,stay,outside,outside,outside,outside
248,stay,stay,outside,outside,outside,outside,outside
249,stay,outside,outside,outside,outside,outside,outside
250,outside,outside,outside,outside,outside,outside,outside
251,outside,outside,outside,outside,outside,outside,outside
252,outside,outside,outside,outside,outside,outside,outside
253,outside,outside,outside,outside,outside,outside,outside
254,outside,outside,outside,outside,outside,outside,outside
255,outside,outside,outside,outside,outside,outside,outside
256,outside,outside,outside,outside,outside,outside,outside
257,outside,outside,outside,outside,outside,outside,outside
258,outside,outside,outside,outside,outside,outside,outside
259,outside,outside,outside,outside,outside,outside,outside
260,outside,outside,outside,outside,outside,outside,outside
261,outside,outside,outside,outside,outside,outside,outside
262,outside,outside,outside,outside,outside,outside,outside
263,outside,outside,outside,outside,outside,outside,outside
264,outside,outside,outside,outside,outside,outside,outside
265,outside,outside,outside,outside,outside,outside,outside
266,arrival,stay,stay,stay,stay,stay,outside
267,stay,stay,stay,stay,stay,stay,outside
268,stay,stay,stay,stay,outside,stay,outside
269,stay,stay,stay,stay,stay,stay,outside
270,stay,stay,stay,outside,stay,stay,outside
271,stay,stay,stay,stay,stay,stay,outside
272,stay,stay,stay,stay,outside,stay,outside
273,stay,stay,outside,outside,leave,outside,outside
274,stay,outside,outside,leave,outside,outside,outside
275,outside,outside,leave,outside,outside,outside,outside
276,outside,leave,outside,outside,outside,outside,outside
277,leave,outside,outside,outside,outside,outside,outside
278,outside,outside,outside,outside,outside,outside,outside
279,outside,outside,outside,outside,outside,outside,outside
280,outside,outside,outside,outside,outside,outside,outside
281,outside,outside,outside,outside,outside,outside,outside
282,outside,outside,outside,outside,outside,outside,outside
283,outside,outside,outside,outside,outside,outside,outside
284,outside,outside,outside,outside,outside,outside,outside
285,outside,outside,outside,outside,outside,outside,outside
286,outside,outside,outside,outside,outside,outside,outside
287,outside,outside,outside,outside,outside,outside,outside
288,outside,outside,outside,outside,outside,outside,outside
289,outside,outside,outside,outside,outside,outside,outside
290,outside,outside,outside,outside,outside,outside,outside
291,outside,outside,outside,outside,outside,outside,outside
292,outside,outside,outside,outside,outside,outside,outside
293,outside,outside,outside,outside,outside,outside,outside
294,outside,outside,outside,outside,outside,outside,outside
295,outside,outside,outside,outside,outside,outside,outside
296,outside,outside,outside,outside,outside,outside,outside
297,outside,outside,outside,outside,outside,outside,outside
298,outside,outside,outside,outside,outside,outside,outside
299,outside,outside,outside,outside,outside,outside,outside
300,outside,outside,outside,outside,outside,outside,outside
301,outside,outside,outside,outside,outside,outside,outside
302,outside,outside,outside,outside,outside,outside,outside
303,outside,outside,outside,outside,outside,outside,outside
304,outside,outside,outside,outside,outside,outside,outside
305,outside,outside,outside,outside,outside,outside,outside
306,outside,outside,outside,outside,outside,outside,outside
307,outside,outside,outside,outside,outside,outside,outside
308,outside,outside,outside,outside,outside,outside,outside
309,outside,outside,outside,outside,outside,outside,outside
310,outside,outside,outside,outside,outside,outside,outside
311,outside,outside,outside,outside,outside,outside,outside
312,outside,outside,outside,outside,outside,outside,outside
313,outside,outside,outside,outside,outside,outside,outside
314,outside,outside,outside,outside,outside,outside,outside
315,outside,outside,outside,outside,outside,outside,outside
316,outside,outside,outside,outside,outside,outside,outside
317,outside,outside,outside,outside,outside,outside,outside
318,outside,outside,outside,outside,outside,outside,outside
319,outside,outside,outside,outside,outside,outside,outside
320,outside,outside,outside,outside,outside,outside,outside
321,outside,outside,outside,outside,outside,outside,outside
322,outside,outside,outside,outside,outside,outside,outside
323,outside,outside,outside,outside,outside,outside,outside
324,outside,outside,outside,outside,outside,outside,outside
325,outside,outside,outside,outside,outside,outside,outside
326,outside,outside,outside,outside,outside,outside,outside
327,outside,outside,outside,outside,outside,outside,outside
328,outside,outside,outside,outside,outside,outside,outside
329,outside,outside,outside,outside,outside,outside,outside
330,outside,outside,outside,outside,outside,outside,outside
331,outside,outside,outside,outside,outside,outside,outside
332,outside,outside,outside,outside,outside,outside,outside
333,outside,outside,outside,outside,outside,outside,outside
334,outside,outside,outside,outside,outside,outside,outside
335,outside,outside,outside,outside,outside,outside,outside
336,outside,outside,outside,outside,outside,outside,outside
337,outside,outside,outside,outside,outside,outside,outside
338,outside,outside,outside,outside,outside,outside,outside
339,outside,outside,outside,outside,outside,outside,outside
340,outside,outside,outside,outside,outside,outside,outside
341,outside,outside,outside,outside,outside,outside,outside
342,outside,outside,outside,outside,outside,outside,outside
343,outside,outside,outside,outside,outside,outside,outside
344,outside,outside,outside,outside,outside,outside,outside
345,outside,outside,outside,outside,outside,outside,outside
346,outside,outside,outside,outside,outside,outside,outside
347,outside,outside,outside,outside,outside,outside,outside
348,outside,outside,outside,outside,outside,outside,outside
349,outside,outside,outside,outside,outside,outside,outside
350,outside,outside,outside,outside,outside,outside,outside
351,outside,outside,outside,outside,outside,outside,outside
352,outside,outside,outside,outside,outside,outside,outside
353,outside,outside,outside,outside,outside,outside,outside
354,outside,outside,outside,outside,outside,outside,outside
355,outside,outside,outside,outside,outside,outside,outside
356,outside,outside,outside,outside,outside,outside,outside
357,outside,outside,outside,outside,outside,outside,outside
358,outside,outside,outside,outside,outside,outside,outside
359,outside,outside,outside,outside,outside,outside,outside
360,outside,outside,outside,outside,outside,outside,outside
361,outside,outside,outside,outside,outside,outside,outside
362,outside,outside,outside,outside,outside,outside,outside
363,outside,outside,outside,outside,outside,outside,outside
364,outside,outside,outside,outside,outside,outside,outside
365,outside,outside,outside,outside,outside,outside,outside
366,outside,outside,outside,outside,outside,outside,outside
367,outside,outside,outside,outside,outside,outside,outside
368,outside,outside,outside,outside,outside,outside,outside
369,outside,outside,outside,outside,outside,outside,outside
370,outside,outside,outside,outside,outside,outside,outside
371,outside,outside,outside,outside,outside,outside,outside
372,outside,outside,outside,outside,outside,outside,outside
373,outside,outside,outside,outside,outside,outside,outside
374,outside,outside,outside,outside,outside,outside,outside
375,outside,outside,outside,outside,outside,outside,outside
376,outside,outside,outside,outside,outside,outside,outside
377,outside,outside,outside,outside,outside,outside,outside
378,outside,outside,outside,outside,outside,outside,outside
379,outside,outside,outside,outside,outside,outside,outside
380,outside,outside,outside,outside,outside,outside,outside
381,outside,outside,outside,outside,outside,outside,outside
382,outside,outside,outside,outside,outside,outside,outside
383,outside,outside,outside,outside,outside,outside,outside
384,outside,outside,outside,outside,outside,outside,outside
385,outside,outside,outside,outside,outside,outside,outside
386,outside,outside,outside,outside,outside,outside,outside
387,outside,outside,outside,outside,outside,outside,outside
388,outside,outside,outside,outside,outside,outside,outside
389,outside,outside,outside,outside,outside,outside,outside
390,outside,outside,outside,outside,outside,outside,outside
391,outside,outside,outside,outside,outside,outside,outside
392,outside,outside,outside,outside,outside,outside,outside
393,outside,outside,outside,outside,outside,outside,outside
394,outside,outside,outside,outside,outside,outside,outside
395,outside,outside,outside,outside,outside,outside,outside
396,outside,outside,outside,outside,outside,outside,outside
397,outside,outside,outside,outside,outside,outside,outside
398,outside,outside,outside,outside,outside,outside,outside
399,outside,outside,outside,outside,outside,outside,outside
400,outside,outside,outside,outside,outside,outside,outside
401,outside,outside,outside,outside,outside,outside,outside
402,outside,outside,outside,outside,outside,outside,outside
403,outside,outside,outside,outside,outside,outside,outside
404,outside,outside,outside,outside,outside,outside,outside
405,outside,outside,outside,outside,outside,outside,outside
406,outside,outside,outside,outside,outside,outside,outside
407,outside,outside,outside,outside,outside,outside,outside
408,outside,outside,outside,outside,outside,outside,outside
409,outside,outside,outside,outside,outside,outside,outside
410,outside,outside,outside,outside,outside,outside,outside
411,outside,outside,outside,outside,outside,outside,outside
412,outside,outside,outside,outside,outside,outside,outside
413,outside,outside,outside,outside,outside,outside,outside
414,outside,outside,outside,outside,outside,outside,outside
